City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Majene,ID,81.64,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
637,Fort Wellington,GY,78.67,clear sky,6.4,-57.6,TE'AMO Entertainment Park
639,Niteroi,BR,76.62,clear sky,-22.8833,-43.1036,Guesthouse
640,Cortez,US,78.51,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
643,Winslow,US,85.96,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
647,Bandar,ID,81.16,scattered clouds,2.05,99.75,
650,Kaili,ID,77.52,broken clouds,-3.4626,120.2147,
651,Jacareacanga,BR,75.58,clear sky,-6.2222,-57.7528,Casa do Ian😎
653,Lamar,US,78.78,light rain,33.6668,-95.5836,Kings Inn Paris TX
654,Sokolo,ML,82.81,overcast clouds,14.7328,-6.1219,
656,Tambovka,RU,77.11,overcast clouds,50.0969,128.0489,Lyzhnaya Gorka
658,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
